,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,season,home_attack,home_defence,away_attack,away_defence
95,2017-10-28 15:00:00,West Bromwich Albion,Manchester City,2,3,1.11852,2.77085,2017,0.7784010435593451,0.7694888808851343,2.096916666322415,0.3920053054832091
96,2017-10-28 17:30:00,Bournemouth,Chelsea,0,1,0.455055,1.78362,2017,0.638811308112684,1.2825143652196462,0.9771779261994212,0.6736087593150121
97,2017-10-29 13:30:00,Brighton,Southampton,1,1,1.50533,0.54364,2017,0.362388085794709,1.3080029107834064,1.047146938341596,1.344244381919196
98,2017-10-29 16:00:00,Leicester,Everton,2,0,1.36768,0.575236,2017,1.1467959251419004,0.7677234875260347,0.8144819052576767,1.0777751472775126
99,2017-10-30 20:00:00,Burnley,Newcastle United,1,0,1.0271,0.516369,2017,0.4656645953605697,0.8387380214667206,1.0276689470739278,0.6441172840540098
100,2017-11-04 12:30:00,Stoke,Leicester,2,2,1.22988,1.39563,2017,0.9203939763932144,1.4358937715693487,1.104112749752322,1.0327995867197468
101,2017-11-04 15:00:00,Southampton,Burnley,0,1,0.789259,0.137743,2017,1.0026019229586514,0.8003231135817768,0.40021998946388143,1.37449924139245
102,2017-11-04 15:00:00,Swansea,Brighton,0,1,1.24557,0.874927,2017,0.7184549671595273,1.542960692763136,0.8223730309836389,0.8612439444867067
103,2017-11-04 15:00:00,Huddersfield,West Bromwich Albion,1,0,0.260436,0.382005,2017,0.5145228691007693,1.0240998798303553,0.5608339078642892,0.9318784111997364
104,2017-11-04 15:00:00,Newcastle United,Bournemouth,0,1,0.676091,1.28703,2017,0.8610696777489432,1.1023436246600176,0.5014880795829662,1.230456117056474
105,2017-11-04 17:30:00,West Ham,Liverpool,1,4,1.13045,2.8773,2017,0.6461019038824511,0.9542851729718083,1.452140384648556,1.477242892791497
106,2017-11-05 12:00:00,Tottenham,Crystal Palace,1,0,0.991813,1.10222,2017,1.1767727078690098,0.4750860836542149,0.7365768910573701,1.6991448660544954
107,2017-11-05 14:15:00,Manchester City,Arsenal,3,1,2.15028,0.340407,2017,2.4312293199170356,0.5134987454731538,1.5490390500411428,0.9839530305882728
108,2017-11-05 16:30:00,Chelsea,Manchester United,1,0,1.8417,0.773586,2017,0.7966760066875326,1.0199357297255212,1.4297640779809948,0.7722740024250211
109,2017-11-05 16:30:00,Everton,Watford,3,2,2.5796,2.05534,2017,0.7759645617360954,1.352276889673171,1.419891832282548,0.8426055412648888
110,2017-11-18 12:30:00,Arsenal,Tottenham,2,0,2.24246,0.591192,2017,1.6211574755825435,0.7649066977066276,1.6359505341923568,0.475649867727372
111,2017-11-18 15:00:00,Crystal Palace,Everton,2,2,2.02983,1.68728,2017,1.0878524191236019,0.9930767637130518,0.7658532619023342,1.0549957404453116
