Team,Div,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage
Everton,2017-18,1.4736842105263157,1.1578947368421053,9.947368421052632,12.68421052631579,3.1578947368421053,4.2631578947368425,4.2631578947368425,5.2105263157894735,0.3157894736842104,1.7894736842105263,52.63157894736842,1.894736842105263,0.8421052631578947,15.842105263157896,9.0,5.368421052631579,3.263157894736842,5.947368421052632,3.6315789473684212,-1.0526315789473684,0.7894736842105263,15.789473684210526
Everton,2018-19,1.5789473684210527,1.105263157894737,14.68421052631579,10.0,4.473684210526316,3.5789473684210527,6.2631578947368425,3.8421052631578947,0.4736842105263157,1.7894736842105263,52.63157894736842,1.3157894736842106,1.263157894736842,11.157894736842104,11.368421052631579,3.6315789473684212,4.421052631578948,5.578947368421052,5.052631578947368,-0.052631578947368585,1.0526315789473684,26.31578947368421
Everton,2019-20,1.263157894736842,1.105263157894737,13.263157894736842,10.578947368421053,4.894736842105263,3.3157894736842106,5.684210526315789,4.631578947368421,0.1578947368421051,1.631578947368421,42.10526315789473,1.8421052631578947,1.0526315789473684,11.894736842105264,11.473684210526315,4.473684210526316,3.6315789473684212,4.947368421052632,5.0,-0.7894736842105263,0.9473684210526316,26.31578947368421
Fulham,2018-19,1.1578947368421053,1.894736842105263,14.421052631578947,13.31578947368421,4.526315789473684,5.684210526315789,5.368421052631579,5.0,-0.7368421052631577,1.1052631578947367,31.57894736842105,2.3684210526315788,0.631578947368421,17.36842105263158,9.421052631578947,6.157894736842105,3.3157894736842106,6.894736842105263,3.1052631578947367,-1.7368421052631577,0.2631578947368421,5.263157894736842
Huddersfield,2017-18,0.8421052631578947,1.3157894736842106,10.894736842105264,9.789473684210526,2.8947368421052633,4.052631578947368,5.368421052631579,4.368421052631579,-0.47368421052631593,1.2105263157894737,31.57894736842105,1.736842105263158,0.631578947368421,13.421052631578947,8.052631578947368,4.631578947368421,2.9473684210526314,6.631578947368421,3.3157894736842106,-1.105263157894737,0.7368421052631579,15.789473684210526
Huddersfield,2018-19,0.5263157894736842,1.631578947368421,10.68421052631579,11.736842105263158,3.0,4.684210526315789,4.473684210526316,3.789473684210526,-1.1052631578947367,0.47368421052631576,10.526315789473683,2.3684210526315788,0.631578947368421,15.631578947368421,10.368421052631579,5.368421052631579,3.210526315789474,5.157894736842105,4.052631578947368,-1.7368421052631577,0.3684210526315789,5.263157894736842
Leicester,2017-18,1.3157894736842106,1.1578947368421053,11.947368421052632,11.368421052631579,3.9473684210526314,3.6315789473684212,5.894736842105263,4.684210526315789,0.1578947368421053,1.4210526315789473,36.84210526315789,2.0,1.631578947368421,14.421052631578947,10.263157894736842,5.2105263157894735,3.8421052631578947,6.684210526315789,4.7894736842105265,-0.368421052631579,1.0526315789473684,26.31578947368421
Leicester,2018-19,1.263157894736842,1.0526315789473684,15.68421052631579,9.842105263157896,5.2105263157894735,3.263157894736842,5.684210526315789,4.473684210526316,0.21052631578947367,1.4210526315789473,42.10526315789473,1.4736842105263157,1.4210526315789473,12.578947368421053,11.421052631578947,4.052631578947368,4.473684210526316,6.157894736842105,5.368421052631579,-0.05263157894736836,1.3157894736842104,36.84210526315789
Leicester,2019-20,1.8421052631578947,0.8947368421052632,13.789473684210526,9.0,4.631578947368421,2.9473684210526314,6.2105263157894735,4.368421052631579,0.9473684210526315,1.9473684210526316,57.89473684210527,1.263157894736842,1.6842105263157894,11.0,14.473684210526315,4.2631578947368425,5.368421052631579,4.842105263157895,5.473684210526316,0.42105263157894735,1.3157894736842104,36.84210526315789
Liverpool,2017-18,2.3684210526315788,0.5263157894736842,18.894736842105264,6.2105263157894735,7.105263157894737,1.9473684210526316,7.052631578947368,3.263157894736842,1.8421052631578947,2.263157894736842,63.1578947368421,1.4736842105263157,2.0526315789473686,8.631578947368421,14.789473684210526,3.473684210526316,5.157894736842105,3.3684210526315788,5.052631578947368,0.5789473684210529,1.6842105263157894,47.368421052631575
